日時,年齢,性別,おすすめアイテム,体温
2021/10/8 9:37,23.2802,女性,　,37
2021/10/8 9:37,18.6986,女性,　,36.9
2021/10/8 13:17,22.4723,女性,　,36.6
2021/10/8 13:18,21.5765,女性,　,36.7
2021/10/8 13:37,22.2448,女性,　,36.5
2021/10/8 13:42,25.1537,男性, ,36.8
2021/10/8 13:56,20.2823,男性, ,37
2021/10/8 13:56,33.9916,男性, ,37
2021/10/8 14:59,39.0216,女性,　,37.2
2021/10/8 15:00,21.8339,男性, ,37.5
2021/10/8 15:01,25.808,女性,　,
2021/10/8 15:02,28.7437,女性,　,37.3
2021/10/8 15:05,23.742,男性, ,37.2
2021/10/8 15:10,27.5841,女性,　,37.1
2021/10/8 15:10,19.0645,女性,　,37
2021/10/8 15:10,35.243,女性,　,37
2021/10/8 15:11,26.8048,女性,　,37
2021/10/8 15:12,28.4302,女性,　,37
2021/10/8 15:12,26.4372,女性,　,36.9
2021/10/8 15:13,26.3057,男性, ,37
2021/10/8 15:24,27.2212,男性, ,
2021/10/8 15:25,26.6054,男性, ,36.9
2021/10/8 15:25,31.2112,男性, ,36.5
2021/10/8 15:27,33.2955,男性, ,37.1
2021/10/8 15:27,28.6093,男性, ,
2021/10/11 16:13,34.9166,男性, ,
2021/10/11 16:40,21.7814,女性,　,
2021/10/15 11:22,28.7398,女性,　,37.3
2021/10/15 11:26,33.7037,男性, ,37.1
2021/10/15 11:27,33.0757,男性, ,37.2
2021/10/15 11:27,31.4144,男性, ,37.2
2021/10/15 11:28,30.5267,女性,　,37.2
2021/10/15 11:29,22.0872,女性,　,37
2021/10/15 11:29,22.8618,女性,　,37.1
2021/10/15 11:31,29.7533,女性,　,37
2021/10/15 11:31,32.0829,女性,　,37.1
2021/10/15 11:32,21.0312,女性,　,37
2021/10/15 11:33,27.4175,女性,　,
2021/10/15 11:34,29.8298,男性, ,37.1
2021/10/15 11:36,23.0047,女性,　,
2021/10/15 11:37,33.3598,女性,　,
2021/10/15 11:37,21.6162,女性,　,37
2021/10/15 11:37,35.387,女性,　,
2021/10/15 11:38,30.9786,女性,　,
2021/10/15 11:38,33.3187,女性,　,37
2021/10/15 11:39,21.9234,女性,　,36.8
2021/10/15 11:40,22.1288,女性,　,36.9
2021/10/15 11:40,23.9552,女性,　,
2021/10/15 11:41,20.6336,女性,　,36.7
2021/10/15 11:42,20.6231,女性,　,36.9
2021/10/15 11:43,34.932,男性, ,37.2
2021/10/15 11:44,32.2951,男性, ,37.1
2021/10/15 14:41,22.0141,女性,　,36.9
2021/10/15 14:42,32.236,男性, ,37
2021/10/15 14:42,25.9797,男性, ,37.1
2021/10/15 15:00,27.8848,男性, ,37.2
2021/10/15 16:48,32.2491,女性,　,36.3
2021/10/15 16:49,29.0935,男性, ,36.3
2021/10/15 16:49,26.3248,女性,　,
2021/10/15 16:49,34.5979,女性,　,36.4
2021/10/15 16:49,25.6309,女性,　,
2021/10/15 16:50,33.1521,男性, ,36.4
2021/10/15 16:50,32.4959,男性, ,36.1
2021/10/15 16:51,31.0155,男性, ,35.9
2021/10/15 16:52,34.2066,男性, ,36
2021/10/15 16:52,31.5868,男性, ,36
2021/10/15 16:52,35.04,男性, ,36
2021/10/15 16:53,22.2725,女性,　,35.7
2021/10/15 16:54,25.0003,女性,　,35.8
2021/10/15 16:54,21.8041,女性,　,
2021/10/15 16:55,23.9046,女性,　,35.8
2021/10/15 16:55,22.4976,女性,　,35.9
2021/10/15 16:55,24.4322,女性,　,35.9
2021/10/15 16:56,24.1075,女性,　,
2021/10/15 16:56,24.1445,女性,　,35.9
2021/10/15 16:56,13.5239,女性,　,
2021/10/15 16:57,22.5364,女性,　,
2021/10/15 16:57,26.1185,女性,　,35.8
2021/10/15 16:58,22.1469,女性,　,35.8
2021/10/15 17:17,35.7822,女性,　,35.8
2021/10/15 17:18,23.0419,男性, ,35.8
2021/10/15 17:19,24.6301,男性, ,35.8
2021/10/15 17:20,34.1546,女性,　,35.9
2021/10/15 17:20,33.4577,女性,　,36.1
2021/10/21 16:06,31.215,女性,　,
2021/10/21 16:07,33.4123,女性,　,36.8
2021/10/21 16:17,41.6752,男性, ,35.8
2021/10/21 17:39,12.4746,女性,　,35.5
2021/10/21 17:40,29.6193,男性, ,35.5
2021/10/21 17:42,23.5968,女性,　,35.8
2021/10/21 17:42,23.5946,女性,　,
2021/10/21 17:43,30.3823,女性,　,35.8
2021/10/21 18:14,24.0329,男性, ,35.5
2021/10/21 18:14,24.7611,男性, ,35.5
2021/10/21 19:08,22.3425,男性, ,35.7
2021/10/21 19:11,50.5675,男性, ,35.7
2021/10/21 19:50,27.8191,女性,　,35.6
2021/10/22 15:17,22.8781,女性,　,37.1
2021/10/22 15:18,18.9978,女性,　,36.6
2021/10/22 15:22,28.1168,女性,　,
2021/10/22 15:23,20.3505,女性,　,
2021/10/22 15:23,19.7916,女性,　,
2021/10/22 15:23,22.3525,女性,　,
2021/10/22 15:24,15.0688,女性,　,
2021/10/22 15:24,18.2173,女性,　,
2021/10/22 15:24,17.9068,女性,　,
2021/10/22 15:24,22.3236,女性,　,
2021/10/22 15:25,14.5684,女性,　,
2021/10/22 15:26,29.1802,女性,　,
2021/10/22 15:34,21.6486,男性, ,
2021/10/22 15:59,32.9713,男性, ,
2021/10/22 16:00,9.40764,女性,　,
2021/10/22 16:01,44.0437,女性,　,
2021/10/22 16:02,17.7182,女性,　,
2021/10/22 16:08,13.7272,女性,　,
2021/10/22 20:19,38.8236,男性, ,
2021/10/22 20:20,21.8006,男性, ,
2021/10/22 20:20,27.6149,男性, ,
2021/10/22 20:20,34.4482,男性, ,
2021/10/22 20:20,37.5014,男性, ,
2021/10/22 20:20,25.1935,男性, ,
2021/10/22 20:21,23.6264,男性, ,
2021/10/22 20:22,25.0687,男性, ,
